id,f_valid,f_maxima,f_muyalta,f_alta,f_moderada,f_baja
232,1.0,0.902,0.0,0.002,0.006,0.09
233,1.0,0.859,0.0,0.002,0.0,0.138
234,1.0,1.0,0.0,0.0,0.0,0.0
235,1.0,0.993,0.0,0.0,0.006,0.0
236,1.0,0.776,0.0,0.005,0.014,0.204
237,1.0,0.702,0.001,0.111,0.027,0.16
238,1.0,0.691,0.296,0.005,0.007,0.0
239,1.0,0.431,0.299,0.093,0.128,0.049
240,1.0,0.101,0.051,0.16,0.682,0.006
241,1.0,0.366,0.016,0.094,0.5,0.024
242,1.0,0.923,0.0,0.03,0.039,0.008
243,1.0,0.947,0.0,0.0,0.017,0.036
244,0.578,0.908,0.014,0.013,0.031,0.034
245,0.931,0.985,0.0,0.001,0.012,0.001
246,1.0,1.0,0.0,0.0,0.0,0.0
247,1.0,1.0,0.0,0.0,0.0,0.0
248,1.0,1.0,0.0,0.0,0.0,0.0
249,1.0,0.861,0.0,0.139,0.0,0.0
250,1.0,0.303,0.0,0.697,0.0,0.0
251,1.0,0.075,0.0,0.247,0.008,0.67
252,1.0,0.16,0.0,0.409,0.182,0.249
253,1.0,0.037,0.0,0.023,0.295,0.645
254,1.0,0.038,0.0,0.187,0.031,0.744
255,1.0,0.086,0.0,0.042,0.281,0.592
256,1.0,0.02,0.0,0.001,0.189,0.79
257,1.0,0.053,0.0,0.0,0.074,0.873
258,1.0,0.059,0.0,0.0,0.098,0.844
259,1.0,0.016,0.0,0.031,0.634,0.319
260,1.0,0.056,0.0,0.02,0.683,0.241
261,1.0,0.009,0.0,0.0,0.03,0.961
262,1.0,0.009,0.0,0.001,0.018,0.972
263,1.0,0.068,0.0,0.076,0.042,0.814
264,1.0,0.135,0.0,0.394,0.001,0.47
265,1.0,0.4,0.002,0.053,0.006,0.539
266,1.0,0.114,0.0,0.017,0.027,0.842
267,1.0,0.072,0.0,0.122,0.004,0.803
268,1.0,0.055,0.0,0.089,0.004,0.852
269,1.0,0.028,0.0,0.003,0.066,0.903
270,1.0,0.071,0.0,0.04,0.044,0.846
271,1.0,0.462,0.0,0.074,0.017,0.447
272,1.0,0.067,0.0,0.196,0.032,0.705
273,1.0,0.019,0.0,0.415,0.023,0.543
274,1.0,0.04,0.002,0.386,0.005,0.568
275,1.0,0.193,0.0,0.195,0.001,0.611
276,1.0,0.338,0.0,0.0,0.0,0.662
277,1.0,0.423,0.0,0.005,0.0,0.571
278,1.0,0.394,0.0,0.004,0.0,0.602
279,1.0,0.502,0.0,0.003,0.004,0.49
280,1.0,0.998,0.0,0.0,0.0,0.002
281,1.0,0.791,0.0,0.007,0.002,0.2
282,1.0,0.685,0.0,0.039,0.0,0.276
283,1.0,0.602,0.0,0.004,0.0,0.394
