id,isa_val,eol_val,eol_dev,patch_ha
2449,4.59,0.53,0.001,6168
2450,2.85,0.16,0.0,0
2451,1.49,0.15,0.0,0
2452,3.23,1.66,0.056,1524
2453,4.63,2.63,0.109,1524
2454,2.2,0.81,0.037,1036
2455,0.31,0.02,0.0,4
2456,1.29,0.47,0.0,116
2457,2.42,0.08,0.0,44
2458,1.15,0.07,0.0,724
2459,2.95,2.16,0.19,634188
2460,3.33,1.3,0.159,634188
2461,6.16,2.68,0.299,634188
2462,5.04,2.76,0.281,634188
2463,4.04,2.41,0.284,634188
2464,4.62,3.21,0.385,634188
2465,4.6,3.32,0.411,634188
2466,4.96,3.57,0.384,634188
2467,6.23,4.24,0.506,634188
2468,3.94,3.24,0.376,634188
2469,1.58,1.14,0.109,634188
2470,0.38,0.2,0.024,1852
2471,3.11,1.16,0.122,1852
2472,0.01,0.0,0.0,4
2473,0.0,0.0,0.0,0
2474,1.52,1.02,0.126,1885384
2475,4.83,3.96,0.427,1885384
2476,2.96,1.16,0.126,1885384
2477,7.0,1.25,0.136,1885384
2478,3.66,0.2,0.021,1885384
2479,4.08,1.84,0.198,1885384
2480,2.48,0.26,0.028,1885384
2481,5.57,3.54,0.386,1885384
2482,9.22,6.64,0.743,1885384
2483,8.76,5.33,0.588,1885384
2484,7.42,5.35,0.516,1885384
2485,7.68,5.89,0.682,1885384
2486,7.96,6.5,0.597,1885384
2487,5.96,3.18,0.322,1885384
2488,5.31,4.3,0.502,1885384
2489,9.0,7.96,0.868,1885384
2490,9.05,7.46,0.797,1885384
2491,9.34,7.19,0.783,1885384
2492,9.39,7.89,0.864,1885384
2493,7.78,5.72,0.653,1885384
2494,6.62,4.62,0.509,83904
2495,0.7,0.66,0.074,83904
2496,0.0,0.0,0.0,0
2497,0.55,0.25,0.03,588
2498,0.31,0.17,0.006,192
2499,3.68,3.19,0.078,192
2500,5.07,4.21,0.187,3336
2501,4.39,4.22,0.103,3336
2502,3.89,3.74,0.257,2396
2503,6.5,5.75,0.404,265132
